,combinations,alpha,epsilon,gamma,i_max,mean_score,median_score
0,"(0.2, 0.01, 0.8, 1500)",0.2,0.01,0.8,1500,"[3.20000e-01 2.08000e+00 4.40000e+00 7.15000e+00 1.54600e+01 2.79950e+02
 1.52330e+03 1.85080e+03 1.70909e+03 1.81728e+03 1.74300e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[2.50000e-01 1.45000e+00 3.00000e+00 4.70000e+00 9.85000e+00 2.65000e+02
 1.50070e+03 1.83740e+03 1.74660e+03 1.80865e+03 1.70515e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
1,"(0.2, 0.01, 0.8, 2000)",0.2,0.01,0.8,2000,"[8.50000e-01 1.54000e+00 3.62000e+00 6.82000e+00 3.01000e+01 2.45610e+02
 1.89482e+03 2.00000e+03 1.82989e+03 2.00000e+03 2.00000e+03 2.00000e+03
 1.67282e+03 1.85078e+03 1.85683e+03]","[6.00000e-01 1.15000e+00 2.95000e+00 5.65000e+00 2.31000e+01 2.40450e+02
 1.89645e+03 2.00000e+03 1.83050e+03 2.00000e+03 2.00000e+03 2.00000e+03
 1.64670e+03 1.83770e+03 1.85100e+03]"
2,"(0.2, 0.01, 0.9, 1500)",0.2,0.01,0.9,1500,"[6.30000e-01 2.59000e+00 6.88000e+00 1.32900e+01 2.21700e+01 4.60910e+02
 1.28824e+03 1.68806e+03 1.98003e+03 2.00000e+03 2.00000e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[4.5000e-01 2.0000e+00 5.9500e+00 8.4000e+00 1.7600e+01 3.7950e+02
 1.3473e+03 1.6760e+03 2.0000e+03 2.0000e+03 2.0000e+03 2.0000e+03
 2.0000e+03 2.0000e+03 2.0000e+03]"
3,"(0.2, 0.01, 0.9, 2000)",0.2,0.01,0.9,2000,"[9.90000e-01 1.52000e+00 5.07000e+00 1.09800e+01 9.04000e+00 5.19080e+02
 1.77176e+03 1.87386e+03 1.81857e+03 1.65207e+03 2.00000e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[8.50000e-01 1.10000e+00 3.95000e+00 7.25000e+00 6.05000e+00 4.88600e+02
 1.79415e+03 1.86465e+03 1.80790e+03 1.63500e+03 2.00000e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
4,"(0.2, 0.01, 1, 1500)",0.2,0.01,1.0,1500,"[1.23000e+00 2.60000e+00 1.19190e+02 1.33220e+02 2.31430e+02 5.78590e+02
 7.98760e+02 1.23699e+03 1.17749e+03 7.82320e+02 7.31400e+02 7.76720e+02
 7.50980e+02 7.36500e+02 7.49090e+02]","[1.00000e+00 1.75000e+00 1.04050e+02 1.25700e+02 2.27300e+02 5.55100e+02
 7.59050e+02 1.22780e+03 1.16525e+03 8.14450e+02 7.05200e+02 7.86700e+02
 7.42000e+02 7.39550e+02 7.34500e+02]"
5,"(0.2, 0.01, 1, 2000)",0.2,0.01,1.0,2000,"[8.00000e-01 3.72000e+00 6.31000e+00 1.45700e+01 5.24200e+01 2.05870e+02
 5.53310e+02 6.32110e+02 5.65990e+02 6.07850e+02 8.72750e+02 7.52930e+02
 1.04661e+03 1.04777e+03 1.04623e+03]","[5.00000e-01 2.25000e+00 3.95000e+00 1.29000e+01 5.14500e+01 1.21100e+02
 5.00850e+02 6.19200e+02 5.38650e+02 5.64550e+02 8.56950e+02 6.92300e+02
 1.03035e+03 1.03290e+03 1.03460e+03]"
6,"(0.2, 0.1, 0.8, 1500)",0.2,0.1,0.8,1500,"[3.10000e-01 1.05000e+00 1.70000e+00 3.85000e+00 3.57000e+00 1.52500e+01
 2.42390e+02 1.12174e+03 1.41030e+03 1.43036e+03 1.81871e+03 1.82238e+03
 1.82376e+03 1.76002e+03 1.89176e+03]","[5.00000e-02 5.00000e-01 1.40000e+00 2.55000e+00 2.25000e+00 1.24000e+01
 2.30950e+02 1.14965e+03 1.42340e+03 1.46090e+03 1.81325e+03 1.82285e+03
 1.81630e+03 1.81890e+03 1.85260e+03]"
7,"(0.2, 0.1, 0.8, 2000)",0.2,0.1,0.8,2000,"[8.00000e-01 2.02000e+00 3.85000e+00 4.98000e+00 7.00000e+00 1.71800e+01
 3.33580e+02 1.35492e+03 1.98134e+03 1.49397e+03 1.62582e+03 1.58661e+03
 1.90378e+03 1.92676e+03 1.81406e+03]","[5.00000e-01 1.50000e+00 2.35000e+00 4.25000e+00 4.35000e+00 1.58000e+01
 3.13650e+02 1.36650e+03 2.00000e+03 1.47250e+03 1.62170e+03 1.55570e+03
 1.93990e+03 1.93685e+03 1.81240e+03]"
8,"(0.2, 0.1, 0.9, 1500)",0.2,0.1,0.9,1500,"[4.00000e-01 1.22000e+00 2.55000e+00 7.55000e+00 9.44000e+00 4.12500e+01
 1.81830e+02 9.72240e+02 1.57771e+03 1.27803e+03 1.52629e+03 1.86076e+03
 1.88486e+03 1.87683e+03 1.84019e+03]","[3.00000e-01 6.50000e-01 1.60000e+00 6.55000e+00 7.20000e+00 3.48500e+01
 1.25550e+02 1.06375e+03 1.68055e+03 1.26480e+03 1.47460e+03 1.84320e+03
 1.86615e+03 1.86380e+03 1.83700e+03]"
9,"(0.2, 0.1, 0.9, 2000)",0.2,0.1,0.9,2000,"[4.40000e-01 1.18000e+00 3.59000e+00 6.45000e+00 7.51000e+00 1.56700e+02
 1.96740e+02 8.91820e+02 1.60425e+03 1.69277e+03 1.43004e+03 1.64060e+03
 1.85449e+03 2.00000e+03 2.00000e+03]","[1.50000e-01 9.50000e-01 2.10000e+00 4.95000e+00 4.85000e+00 1.65150e+02
 1.40150e+02 8.81550e+02 1.62485e+03 1.69710e+03 1.39270e+03 1.62030e+03
 1.85805e+03 2.00000e+03 2.00000e+03]"
10,"(0.2, 0.1, 1, 1500)",0.2,0.1,1.0,1500,"[3.30000e-01 1.63000e+00 3.07000e+00 7.08000e+00 1.06900e+01 2.53080e+02
 3.95220e+02 1.14710e+03 1.91225e+03 1.55554e+03 1.67868e+03 1.66992e+03
 1.69126e+03 1.72236e+03 1.70043e+03]","[1.50000e-01 1.25000e+00 2.00000e+00 5.30000e+00 7.85000e+00 2.46650e+02
 3.63050e+02 1.12300e+03 1.91340e+03 1.54805e+03 1.66220e+03 1.64955e+03
 1.66740e+03 1.70615e+03 1.66700e+03]"
11,"(0.2, 0.1, 1, 2000)",0.2,0.1,1.0,2000,"[2.30000e-01 1.57000e+00 4.11000e+00 3.93000e+00 7.14000e+00 2.31390e+02
 7.08970e+02 1.32791e+03 1.26429e+03 1.78517e+03 1.48449e+03 1.43885e+03
 1.64238e+03 1.76574e+03 1.81126e+03]","[1.50000e-01 1.20000e+00 3.15000e+00 3.00000e+00 5.45000e+00 2.19350e+02
 6.83600e+02 1.25470e+03 1.23860e+03 1.80485e+03 1.47070e+03 1.43510e+03
 1.64170e+03 1.80350e+03 1.81020e+03]"
12,"(0.4666666666666667, 0.01, 0.8, 1500)",0.4666666666666667,0.01,0.8,1500,"[7.80000e-01 1.10000e+00 2.55000e+00 7.95000e+00 1.50100e+01 2.43480e+02
 7.86080e+02 1.69390e+03 1.60385e+03 1.87304e+03 1.80174e+03 1.80255e+03
 1.80120e+03 1.80095e+03 1.80115e+03]","[5.00000e-01 4.50000e-01 1.70000e+00 4.70000e+00 1.24000e+01 2.23900e+02
 7.69250e+02 1.80360e+03 1.60210e+03 1.84240e+03 1.80140e+03 1.80170e+03
 1.80100e+03 1.80095e+03 1.80100e+03]"
13,"(0.4666666666666667, 0.01, 0.8, 2000)",0.4666666666666667,0.01,0.8,2000,"[6.20000e-01 2.05000e+00 2.82000e+00 1.70500e+01 1.47100e+01 9.93680e+02
 9.19130e+02 1.70427e+03 1.70969e+03 1.81742e+03 1.82235e+03 1.80363e+03
 1.80497e+03 1.80511e+03 1.80453e+03]","[3.00000e-01 1.25000e+00 2.00000e+00 1.04000e+01 1.15000e+01 1.05005e+03
 9.24350e+02 1.78555e+03 1.82120e+03 1.81350e+03 1.81535e+03 1.80200e+03
 1.80385e+03 1.80375e+03 1.80475e+03]"
14,"(0.4666666666666667, 0.01, 0.9, 1500)",0.4666666666666667,0.01,0.9,1500,"[7.90000e-01 1.01400e+01 3.64800e+01 3.52500e+01 5.26810e+02 1.01006e+03
 2.00000e+03 1.82079e+03 2.00000e+03 1.60627e+03 1.65528e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[7.00000e-01 7.80000e+00 2.90000e+01 2.66500e+01 6.13800e+02 1.00695e+03
 2.00000e+03 1.81755e+03 2.00000e+03 1.62310e+03 1.62945e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
15,"(0.4666666666666667, 0.01, 0.9, 2000)",0.4666666666666667,0.01,0.9,2000,"[4.30000e-01 1.62000e+00 7.07000e+00 2.04650e+02 9.04900e+01 1.41283e+03
 1.53399e+03 1.63710e+03 1.96508e+03 1.14193e+03 1.29867e+03 1.82565e+03
 1.92084e+03 1.93320e+03 2.00000e+03]","[3.50000e-01 1.25000e+00 4.40000e+00 2.15650e+02 8.20000e+01 1.41025e+03
 1.49840e+03 1.65370e+03 2.00000e+03 1.09815e+03 1.39495e+03 1.81690e+03
 2.00000e+03 1.92615e+03 2.00000e+03]"
16,"(0.4666666666666667, 0.01, 1, 1500)",0.4666666666666667,0.01,1.0,1500,"[6.70000e-01 2.92000e+00 5.88000e+00 3.96400e+01 1.98440e+02 1.46499e+03
 1.21665e+03 1.11830e+03 9.95870e+02 2.97780e+02 7.44720e+02 7.18390e+02
 6.80560e+02 6.94190e+02 7.07780e+02]","[2.50000e-01 2.40000e+00 4.65000e+00 3.09500e+01 2.25500e+02 1.43560e+03
 1.23800e+03 1.07695e+03 1.01400e+03 2.65250e+02 7.26100e+02 6.92200e+02
 6.54650e+02 6.55850e+02 6.52100e+02]"
17,"(0.4666666666666667, 0.01, 1, 2000)",0.4666666666666667,0.01,1.0,2000,"[6.60000e-01 1.66000e+00 8.93000e+00 2.90800e+01 1.57420e+02 8.25890e+02
 8.40410e+02 1.54429e+03 6.35370e+02 8.77640e+02 9.84790e+02 1.07079e+03
 1.35350e+02 5.49560e+02 5.25840e+02]","[4.00000e-01 1.20000e+00 5.95000e+00 1.91000e+01 1.83550e+02 8.67900e+02
 8.30150e+02 1.53010e+03 6.66350e+02 8.65200e+02 1.05180e+03 1.06765e+03
 8.24500e+01 6.33650e+02 5.71850e+02]"
18,"(0.4666666666666667, 0.1, 0.8, 1500)",0.4666666666666667,0.1,0.8,1500,"[2.80000e-01 7.30000e-01 2.25000e+00 2.96000e+00 4.33000e+00 3.33400e+01
 6.75890e+02 1.04366e+03 1.47808e+03 1.11429e+03 1.23292e+03 1.81588e+03
 2.00000e+03 1.98011e+03 2.00000e+03]","[5.00000e-02 5.50000e-01 1.80000e+00 2.55000e+00 2.95000e+00 2.89000e+01
 7.01250e+02 1.01780e+03 1.51285e+03 1.08810e+03 1.26575e+03 1.81445e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
19,"(0.4666666666666667, 0.1, 0.8, 2000)",0.4666666666666667,0.1,0.8,2000,"[4.00000e-01 1.87000e+00 2.97000e+00 8.35000e+00 5.51000e+00 2.99300e+01
 4.05360e+02 8.75000e+02 1.35033e+03 1.18742e+03 1.60896e+03 1.18378e+03
 1.12981e+03 2.00000e+03 2.00000e+03]","[2.00000e-01 1.80000e+00 2.10000e+00 6.70000e+00 4.15000e+00 2.22000e+01
 4.13450e+02 8.66650e+02 1.37560e+03 1.19835e+03 1.60585e+03 1.19950e+03
 1.12915e+03 2.00000e+03 2.00000e+03]"
20,"(0.4666666666666667, 0.1, 0.9, 1500)",0.4666666666666667,0.1,0.9,1500,"[5.40000e-01 1.76000e+00 3.06000e+00 5.41000e+00 1.14800e+01 1.40030e+02
 6.52830e+02 1.42446e+03 8.27140e+02 1.22528e+03 1.10840e+03 1.80403e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[2.50000e-01 1.50000e+00 1.95000e+00 4.10000e+00 9.50000e+00 5.96500e+01
 6.89500e+02 1.45250e+03 8.96050e+02 1.23450e+03 1.11630e+03 1.80325e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
21,"(0.4666666666666667, 0.1, 0.9, 2000)",0.4666666666666667,0.1,0.9,2000,"[5.70000e-01 1.26000e+00 3.27000e+00 6.67000e+00 1.03000e+01 3.20370e+02
 4.60920e+02 5.07170e+02 8.60620e+02 1.24172e+03 1.42478e+03 8.35760e+02
 1.43449e+03 1.83566e+03 2.00000e+03]","[3.00000e-01 9.50000e-01 2.50000e+00 3.70000e+00 8.75000e+00 2.82500e+02
 4.58850e+02 5.26100e+02 8.44550e+02 1.41290e+03 1.45165e+03 8.41800e+02
 1.42425e+03 1.83130e+03 2.00000e+03]"
22,"(0.4666666666666667, 0.1, 1, 1500)",0.4666666666666667,0.1,1.0,1500,"[9.70000e-01 2.24000e+00 3.66000e+00 1.57000e+01 1.92000e+01 6.26530e+02
 6.61230e+02 1.36838e+03 1.32426e+03 1.28800e+03 1.67879e+03 1.93095e+03
 1.93703e+03 1.87645e+03 1.85875e+03]","[4.50000e-01 1.60000e+00 3.20000e+00 1.15500e+01 1.32000e+01 6.25600e+02
 6.68350e+02 1.45645e+03 1.31055e+03 1.27425e+03 1.80525e+03 1.96275e+03
 2.00000e+03 1.98450e+03 1.89440e+03]"
23,"(0.4666666666666667, 0.1, 1, 2000)",0.4666666666666667,0.1,1.0,2000,"[5.20000e-01 1.96000e+00 3.24000e+00 9.14000e+00 1.25000e+01 5.02330e+02
 1.53357e+03 1.33736e+03 1.13295e+03 1.83310e+03 1.52843e+03 1.42180e+03
 1.82433e+03 1.61716e+03 1.61407e+03]","[2.50000e-01 1.55000e+00 2.55000e+00 6.50000e+00 8.90000e+00 4.61300e+02
 1.57215e+03 1.35710e+03 1.19270e+03 1.83495e+03 1.56060e+03 1.44835e+03
 1.85625e+03 1.62980e+03 1.65065e+03]"
24,"(0.7333333333333334, 0.01, 0.8, 1500)",0.7333333333333334,0.01,0.8,1500,"[5.50000e-01 1.33000e+00 4.88000e+00 1.21600e+01 1.06800e+01 2.63660e+02
 1.25397e+03 1.24613e+03 1.71874e+03 1.71097e+03 1.75242e+03 1.98017e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[4.00000e-01 1.00000e+00 3.50000e+00 6.40000e+00 1.07000e+01 2.56800e+02
 1.26265e+03 1.22650e+03 1.72345e+03 1.70325e+03 1.77490e+03 2.00000e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
25,"(0.7333333333333334, 0.01, 0.8, 2000)",0.7333333333333334,0.01,0.8,2000,"[5.20000e-01 2.22000e+00 6.49000e+00 1.46900e+01 1.82000e+01 2.09590e+02
 1.02744e+03 1.10701e+03 1.40757e+03 1.79089e+03 1.78430e+03 1.64464e+03
 1.81493e+03 2.00000e+03 2.00000e+03]","[2.50000e-01 1.85000e+00 3.70000e+00 1.20500e+01 9.95000e+00 2.05800e+02
 1.02320e+03 1.07935e+03 1.37950e+03 1.80955e+03 1.80110e+03 1.63260e+03
 1.81730e+03 2.00000e+03 2.00000e+03]"
26,"(0.7333333333333334, 0.01, 0.9, 1500)",0.7333333333333334,0.01,0.9,1500,"[4.70000e-01 2.18000e+00 9.78000e+00 2.14600e+01 1.99040e+02 4.54260e+02
 1.03795e+03 8.91430e+02 1.21728e+03 1.07956e+03 1.79290e+03 2.00000e+03
 1.88048e+03 2.00000e+03 2.00000e+03]","[1.50000e-01 1.40000e+00 7.20000e+00 1.34500e+01 2.16250e+02 4.27400e+02
 1.10320e+03 1.00320e+03 1.20570e+03 1.06480e+03 1.80950e+03 2.00000e+03
 1.85665e+03 2.00000e+03 2.00000e+03]"
27,"(0.7333333333333334, 0.01, 0.9, 2000)",0.7333333333333334,0.01,0.9,2000,"[6.60000e-01 1.78000e+00 6.54000e+00 1.27200e+01 1.81200e+01 6.20450e+02
 1.03397e+03 1.21653e+03 1.55385e+03 1.74063e+03 1.71885e+03 1.33625e+03
 2.00000e+03 2.00000e+03 2.00000e+03]","[5.50000e-01 1.30000e+00 4.60000e+00 1.17500e+01 9.25000e+00 6.10150e+02
 1.02360e+03 1.21265e+03 1.55205e+03 1.74990e+03 1.80780e+03 1.36465e+03
 2.00000e+03 2.00000e+03 2.00000e+03]"
28,"(0.7333333333333334, 0.01, 1, 1500)",0.7333333333333334,0.01,1.0,1500,"[2.7000e-01 2.2200e+00 7.2800e+00 9.8000e+00 4.1769e+02 8.5130e+02
 3.5654e+02 5.7171e+02 6.4093e+02 6.2879e+02 9.3375e+02 7.4960e+02
 7.4340e+02 8.0220e+02 7.7883e+02]","[5.0000e-02 1.5500e+00 6.0000e+00 6.2000e+00 4.2455e+02 8.3645e+02
 3.4445e+02 6.2065e+02 6.4025e+02 6.2500e+02 1.0069e+03 8.1375e+02
 8.1370e+02 8.1205e+02 8.2315e+02]"
29,"(0.7333333333333334, 0.01, 1, 2000)",0.7333333333333334,0.01,1.0,2000,"[7.9000e-01 4.1000e+00 5.7600e+00 2.2009e+02 1.4002e+02 6.8942e+02
 8.1160e+02 6.9604e+02 2.3888e+02 3.6122e+02 5.6090e+02 6.0108e+02
 7.9006e+02 8.1048e+02 7.2684e+02]","[5.0000e-01 3.5000e+00 5.0000e+00 2.1350e+02 1.6125e+02 6.5680e+02
 8.3430e+02 6.6190e+02 1.7230e+02 2.5780e+02 6.4345e+02 6.2870e+02
 8.1925e+02 8.3530e+02 8.3255e+02]"
30,"(0.7333333333333334, 0.1, 0.8, 1500)",0.7333333333333334,0.1,0.8,1500,"[1.70000e-01 1.03000e+00 1.50000e+00 3.97000e+00 5.49000e+00 1.88400e+01
 8.12800e+01 1.40648e+03 1.35376e+03 1.04586e+03 1.01239e+03 1.80072e+03
 1.79522e+03 2.00000e+03 1.96153e+03]","[1.50000e-01 6.50000e-01 9.00000e-01 2.75000e+00 4.05000e+00 1.33500e+01
 5.79000e+01 1.41015e+03 1.32790e+03 1.04175e+03 9.93200e+02 1.80050e+03
 1.81335e+03 2.00000e+03 2.00000e+03]"
31,"(0.7333333333333334, 0.1, 0.8, 2000)",0.7333333333333334,0.1,0.8,2000,"[3.20000e-01 1.18000e+00 1.79000e+00 2.26000e+00 3.54000e+00 1.93300e+01
 4.66830e+02 7.18450e+02 9.47270e+02 1.25073e+03 1.03476e+03 7.55030e+02
 1.12824e+03 1.65676e+03 2.00000e+03]","[1.50000e-01 7.00000e-01 9.00000e-01 1.60000e+00 2.95000e+00 1.43500e+01
 4.41500e+02 7.07250e+02 1.01605e+03 1.23770e+03 1.09105e+03 7.57000e+02
 1.11095e+03 1.64515e+03 2.00000e+03]"
32,"(0.7333333333333334, 0.1, 0.9, 1500)",0.7333333333333334,0.1,0.9,1500,"[4.70000e-01 1.04000e+00 3.70000e+00 5.39000e+00 1.02200e+01 6.83400e+01
 5.92990e+02 7.70790e+02 1.20653e+03 9.37760e+02 1.39823e+03 1.86873e+03
 1.82355e+03 1.62831e+03 1.96033e+03]","[2.50000e-01 7.00000e-01 3.05000e+00 4.20000e+00 7.55000e+00 4.96500e+01
 6.39200e+02 7.56650e+02 1.22665e+03 1.05180e+03 1.48260e+03 1.85960e+03
 1.81245e+03 1.61520e+03 2.00000e+03]"
33,"(0.7333333333333334, 0.1, 0.9, 2000)",0.7333333333333334,0.1,0.9,2000,"[4.40000e-01 2.06000e+00 4.37000e+00 5.49000e+00 1.25300e+01 3.89960e+02
 4.61260e+02 1.01683e+03 7.76820e+02 5.80640e+02 1.21969e+03 6.84650e+02
 9.17870e+02 1.77567e+03 1.74879e+03]","[3.50000e-01 1.25000e+00 3.15000e+00 3.70000e+00 8.25000e+00 4.67850e+02
 5.02950e+02 1.12225e+03 7.85700e+02 5.02300e+02 1.22870e+03 6.53600e+02
 8.88650e+02 1.82175e+03 1.75840e+03]"
34,"(0.7333333333333334, 0.1, 1, 1500)",0.7333333333333334,0.1,1.0,1500,"[6.8000e-01 1.7800e+00 3.8100e+00 8.2000e+00 1.4310e+01 4.9779e+02
 6.4093e+02 6.5640e+02 9.3066e+02 8.9815e+02 7.5748e+02 8.1309e+02
 7.9454e+02 7.2540e+02 8.0520e+02]","[5.5000e-01 1.5500e+00 3.1000e+00 5.3000e+00 9.3500e+00 6.2200e+02
 6.2705e+02 6.4600e+02 9.2335e+02 8.6745e+02 8.3765e+02 8.5255e+02
 8.6255e+02 7.5690e+02 8.4200e+02]"
35,"(0.7333333333333334, 0.1, 1, 2000)",0.7333333333333334,0.1,1.0,2000,"[6.40000e-01 2.43000e+00 4.10000e+00 9.43000e+00 6.34600e+01 3.07870e+02
 1.27466e+03 1.05514e+03 1.20355e+03 2.29440e+02 1.38739e+03 1.57040e+03
 6.36240e+02 8.46420e+02 9.98470e+02]","[5.00000e-01 1.85000e+00 2.60000e+00 7.15000e+00 3.12000e+01 2.82800e+02
 1.41825e+03 1.04280e+03 1.25125e+03 2.39250e+02 1.48970e+03 1.63240e+03
 6.24600e+02 8.68250e+02 1.06070e+03]"
36,"(1.0, 0.01, 0.8, 1500)",1.0,0.01,0.8,1500,"[4.70000e-01 1.01000e+00 3.56000e+00 1.52800e+01 3.27400e+01 5.69600e+01
 5.43090e+02 9.08200e+01 3.25400e+01 2.55740e+02 5.42200e+01 1.80079e+03
 1.80108e+03 1.78093e+03 1.80106e+03]","[3.50000e-01 5.00000e-01 2.40000e+00 1.00000e+01 2.84000e+01 4.31000e+01
 5.54500e+02 5.72000e+01 2.84000e+01 2.51050e+02 3.23000e+01 1.80065e+03
 1.80050e+03 1.80050e+03 1.80065e+03]"
37,"(1.0, 0.01, 0.8, 2000)",1.0,0.01,0.8,2000,"[5.10000e-01 1.57000e+00 3.66000e+00 2.59100e+01 9.14000e+00 1.54530e+02
 4.47630e+02 9.37500e+01 4.29100e+01 6.99100e+01 5.64600e+01 8.00200e+01
 5.19000e+01 1.66903e+03 1.64248e+03]","[3.00000e-01 9.00000e-01 2.25000e+00 2.00500e+01 7.35000e+00 2.24900e+02
 4.29150e+02 7.82500e+01 3.29000e+01 4.83500e+01 3.94500e+01 6.33000e+01
 5.01000e+01 1.66170e+03 1.62845e+03]"
38,"(1.0, 0.01, 0.9, 1500)",1.0,0.01,0.9,1500,"[6.20000e-01 1.47000e+00 5.11000e+00 8.53000e+00 1.44400e+01 2.29830e+02
 2.23680e+02 6.74100e+01 3.66800e+01 3.47300e+01 1.61950e+02 1.06336e+03
 1.07482e+03 1.07267e+03 1.12759e+03]","[4.50000e-01 1.00000e+00 4.20000e+00 6.45000e+00 1.17500e+01 2.19400e+02
 2.17800e+02 5.80000e+01 2.83500e+01 2.16000e+01 2.14800e+02 1.06585e+03
 1.06645e+03 1.06860e+03 1.08570e+03]"
39,"(1.0, 0.01, 0.9, 2000)",1.0,0.01,0.9,2000,"[  0.65   1.29   4.7   21.18 191.21 179.1   47.82  51.45 218.56 120.25
  29.09  44.89  44.88 338.99 345.47]","[3.5000e-01 7.5000e-01 3.1000e+00 1.5750e+01 2.0865e+02 1.2425e+02
 3.6000e+01 3.3050e+01 2.1130e+02 1.0465e+02 1.6800e+01 3.5100e+01
 1.7200e+01 3.7860e+02 4.1160e+02]"
40,"(1.0, 0.01, 1, 1500)",1.0,0.01,1.0,1500,"[3.2000e-01 1.1500e+00 2.4900e+00 1.2418e+02 1.0630e+01 4.1330e+01
 5.3871e+02 1.6590e+01 1.9440e+01 3.1870e+01 2.0310e+01 3.6850e+01
 2.6040e+01 2.7590e+01 3.6000e+01]","[2.0000e-01 9.0000e-01 1.4000e+00 2.0270e+02 7.0000e+00 2.1300e+01
 6.1285e+02 1.2900e+01 1.3450e+01 2.0850e+01 1.5350e+01 2.9250e+01
 1.8950e+01 2.4050e+01 2.5800e+01]"
41,"(1.0, 0.01, 1, 2000)",1.0,0.01,1.0,2000,"[  0.24   1.28   6.11  10.49   9.75 190.21  13.12  26.77  15.95  11.85
  18.73  58.17 111.95  13.75  13.68]","[1.5000e-01 9.0000e-01 4.9000e+00 7.2500e+00 7.5000e+00 2.0715e+02
 1.0250e+01 1.8550e+01 9.3500e+00 8.6500e+00 1.0850e+01 5.0800e+01
 1.1065e+02 1.0850e+01 1.1500e+01]"
42,"(1.0, 0.1, 0.8, 1500)",1.0,0.1,0.8,1500,"[3.90000e-01 1.25000e+00 1.68000e+00 3.17000e+00 4.62000e+00 1.46300e+01
 1.25400e+01 1.95500e+01 1.42800e+01 1.33800e+01 6.26000e+00 9.88480e+02
 1.21219e+03 8.32600e+02 1.14427e+03]","[2.00000e-01 7.00000e-01 1.10000e+00 2.45000e+00 3.15000e+00 1.17000e+01
 1.12000e+01 1.33000e+01 9.20000e+00 1.02000e+01 5.05000e+00 9.06350e+02
 1.26415e+03 7.70400e+02 1.14765e+03]"
43,"(1.0, 0.1, 0.8, 2000)",1.0,0.1,0.8,2000,"[4.70000e-01 1.02000e+00 1.11000e+00 1.59000e+00 6.42000e+00 7.09000e+00
 1.21800e+01 1.56800e+01 2.09700e+01 2.86100e+01 1.92900e+01 1.23700e+01
 1.39000e+01 1.80598e+03 1.80539e+03]","[2.00000e-01 5.50000e-01 6.50000e-01 1.05000e+00 6.15000e+00 5.30000e+00
 7.95000e+00 1.12000e+01 1.51500e+01 2.28000e+01 1.67500e+01 8.65000e+00
 9.30000e+00 1.80165e+03 1.80520e+03]"
44,"(1.0, 0.1, 0.9, 1500)",1.0,0.1,0.9,1500,"[2.50000e-01 1.08000e+00 5.47000e+00 8.22000e+00 9.37000e+00 2.78700e+01
 8.07400e+01 8.25000e+00 7.06000e+00 7.38000e+00 7.31000e+00 9.78480e+02
 1.33294e+03 8.50600e+02 9.99160e+02]","[1.00000e-01 6.00000e-01 3.70000e+00 5.60000e+00 7.40000e+00 2.02500e+01
 5.73500e+01 5.95000e+00 4.65000e+00 5.15000e+00 5.30000e+00 1.02545e+03
 1.41080e+03 8.37750e+02 1.03815e+03]"
45,"(1.0, 0.1, 0.9, 2000)",1.0,0.1,0.9,2000,"[2.50000e-01 9.00000e-01 2.77000e+00 5.68000e+00 2.22000e+00 1.61120e+02
 1.59830e+02 1.73300e+01 7.12000e+00 8.70000e+00 9.12000e+00 6.59000e+00
 6.51000e+00 7.96700e+02 1.43236e+03]","[1.00000e-01 5.50000e-01 2.00000e+00 3.45000e+00 1.50000e+00 2.11650e+02
 2.21200e+02 1.18500e+01 5.00000e+00 6.70000e+00 6.95000e+00 4.25000e+00
 3.45000e+00 8.14100e+02 1.42515e+03]"
46,"(1.0, 0.1, 1, 1500)",1.0,0.1,1.0,1500,"[  0.34   0.66   1.72   2.32   6.4   20.72  37.89 242.95  16.69  20.17
 222.24 249.71 251.53 251.86 253.98]","[1.0000e-01 3.0000e-01 1.2500e+00 1.5000e+00 4.9000e+00 1.4600e+01
 2.5600e+01 2.2595e+02 1.2100e+01 1.2500e+01 2.1345e+02 2.3635e+02
 2.4010e+02 2.4155e+02 2.3530e+02]"
47,"(1.0, 0.1, 1, 2000)",1.0,0.1,1.0,2000,"[  0.45   1.01   1.78   4.2    5.53  13.05 265.17  37.18 181.21  14.91
 219.83  59.83 166.2  331.86 407.73]","[2.0000e-01 8.0000e-01 7.5000e-01 3.2500e+00 2.7500e+00 9.8000e+00
 2.5920e+02 2.2400e+01 2.1570e+02 1.0450e+01 2.1360e+02 4.3400e+01
 2.1905e+02 2.4155e+02 4.5720e+02]"
